Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,DIS,MSFT,AAPL,DIS,MSFT,AAPL,DIS,MSFT,AAPL,DIS,MSFT,AAPL,DIS,MSFT,AAPL,DIS,MSFT
Date,,,,,,,,,,,,,,,,,,
2019-01-02,37.750091552734375,106.81184387207031,95.50132751464844,39.47999954223633,108.97000122070312,101.12000274658203,39.712501525878906,109.13999938964844,101.75,38.557498931884766,107.7300033569336,98.94000244140625,38.72249984741211,108.0999984741211,99.55000305175781,148158800,9723500,35329300
2019-01-03,33.98989486694336,104.22412109375,91.98802185058594,35.54750061035156,106.33000183105469,97.4000015258789,36.43000030517578,108.6500015258789,100.19000244140625,35.5,105.94000244140625,97.19999694824219,35.994998931884766,108.4800033569336,100.0999984741211,365248800,10594700,42579100
2019-01-04,35.44089889526367,107.43917083740234,96.26631164550781,37.064998626708984,109.61000061035156,101.93000030517578,37.13750076293945,110.75,102.51000213623047,35.95000076293945,107.25,98.93000030517578,36.13249969482422,107.94000244140625,99.72000122070312,234428400,10122800,44060600
2019-01-07,35.36201095581055,108.37034606933594,96.38909912109375,36.98249816894531,110.55999755859375,102.05999755859375,37.20750045776367,111.4000015258789,103.2699966430664,36.474998474121094,109.30000305175781,100.9800033569336,37.17499923706055,109.91000366210938,101.63999938964844,219111200,6714700,35656100
2019-01-08,36.03612518310547,109.21331787109375,97.08797454833984,37.6875,111.41999816894531,102.80000305175781,37.95500183105469,112.55999755859375,103.97000122070312,37.130001068115234,111.16999816894531,101.70999908447266,37.38999938964844,111.80000305175781,103.04000091552734,164101200,8730700,31514400
2019-01-09,36.64808654785156,110.43856811523438,98.47628021240234,38.32749938964844,112.66999816894531,104.2699966430664,38.63249969482422,112.80000305175781,104.87999725341797,37.407501220703125,111.55999755859375,103.23999786376953,37.8224983215332,111.80000305175781,103.86000061035156,180396400,5931900,32280800
2019-01-10,36.765220642089844,110.56599426269531,97.84352111816406,38.45000076293945,112.80000305175781,103.5999984741211,38.49250030517578,112.91000366210938,103.75,37.71500015258789,111.5,102.37999725341797,38.125,111.98999786376953,103.22000122070312,143122800,6160100,30067600
2019-01-11,36.40425109863281,110.4189682006836,97.08797454833984,38.0724983215332,112.6500015258789,102.80000305175781,38.42499923706055,112.91999816894531,103.44000244140625,37.877498626708984,111.7300033569336,101.63999938964844,38.220001220703125,112.18000030517578,103.19000244140625,108092800,4819100,28314200
2019-01-14,35.856842041015625,110.19351959228516,96.379638671875,37.5,112.41999816894531,102.05000305175781,37.817501068115234,112.69999694824219,102.87000274658203,37.30500030517578,111.43000030517578,101.26000213623047,37.712501525878906,111.6500015258789,101.9000015258789,129756800,6980600,28437100
2019-01-15,36.59072494506836,109.54659271240234,99.17518615722656,38.26750183105469,111.76000213623047,105.01000213623047,38.34749984741211,113.18000030517578,105.05000305175781,37.51250076293945,110.61000061035156,101.87999725341797,37.567501068115234,112.30000305175781,102.51000213623047,114843600,9800900,31587600
2019-01-16,37.03773880004883,108.71342468261719,99.52462005615234,38.73500061035156,110.91000366210938,105.37999725341797,38.970001220703125,112.01000213623047,106.26000213623047,38.25,110.80999755859375,104.95999908447266,38.27000045776367,111.44999694824219,105.26000213623047,122278800,5899900,29853900
2019-01-17,37.25764465332031,108.81144714355469,100.2235107421875,38.96500015258789,111.01000213623047,106.12000274658203,39.415000915527344,111.26000213623047,106.62999725341797,38.314998626708984,110.16000366210938,104.76000213623047,38.54999923706055,110.72000122070312,105.0,119284800,6392000,28393000
2019-01-18,37.48712921142578,108.84085083007812,101.72515869140625,39.20500183105469,111.04000091552734,107.70999908447266,39.470001220703125,111.93000030517578,107.9000015258789,38.994998931884766,110.83000183105469,105.91000366210938,39.375,111.86000061035156,107.45999908447266,135004000,8554700,37427600
2019-01-22,36.645694732666016,108.40956115722656,99.80795288085938,38.32500076293945,110.5999984741211,105.68000030517578,39.182498931884766,111.33000183105469,107.0999984741211,38.154998779296875,109.75,104.86000061035156,39.102500915527344,110.62000274658203,106.75,121576000,6986700,32371300
2019-01-23,36.79389572143555,108.91926574707031,100.78070068359375,38.47999954223633,111.12000274658203,106.70999908447266,38.78499984741211,111.83999633789062,107.04000091552734,37.92499923706055,110.0,105.33999633789062,38.537498474121094,111.19000244140625,106.12000274658203,92522400,6845600,25874300
2019-01-24,36.50226593017578,108.36055755615234,100.29906463623047,38.17499923706055,110.55000305175781,106.19999694824219,38.619998931884766,111.11000061035156,107.0,37.935001373291016,109.93000030517578,105.33999633789062,38.52750015258789,111.0,106.86000061035156,101766000,6716800,23164800
2019-01-25,37.71184158325195,108.88984680175781,101.21515655517578,39.439998626708984,111.08999633789062,107.16999816894531,39.532501220703125,111.5,107.87999725341797,38.58000183105469,110.66000366210938,106.19999694824219,38.869998931884766,111.47000122070312,107.23999786376953,134142000,5706900,31225600
2019-01-28,37.36281967163086,108.61540222167969,99.24128723144531,39.07500076293945,110.80999755859375,105.08000183105469,39.08250045776367,110.98999786376953,106.4800033569336,38.415000915527344,109.94999694824219,104.66000366210938,38.9474983215332,110.76000213623047,106.26000213623047,104768400,6178800,29476700
2019-01-29,36.97557067871094,108.70362854003906,97.22018432617188,38.66999816894531,110.9000015258789,102.94000244140625,39.532501220703125,110.93000030517578,104.97000122070312,38.52750015258789,110.0,102.16999816894531,39.0625,110.6500015258789,104.87999725341797,166348800,5253700,31490500
2019-01-30,39.50228500366211,107.94886016845703,100.46904754638672,41.3125,110.12999725341797,106.37999725341797,41.537498474121094,110.58000183105469,106.37999725341797,40.057498931884766,108.95999908447266,104.33000183105469,40.8125,110.30000305175781,104.62000274658203,244439200,7853800,49471900
2019-01-31,39.78675079345703,109.31134033203125,98.62740325927734,41.61000061035156,111.5199966430664,104.43000030517578,42.25,111.54000091552734,105.22000122070312,41.13999938964844,110.01000213623047,103.18000030517578,41.52750015258789,110.0999984741211,103.80000305175781,162958400,8351600,55636400
2019-02-01,39.805877685546875,109.095703125,97.069091796875,41.630001068115234,111.30000305175781,102.77999877929688,42.244998931884766,112.05000305175781,104.0999984741211,41.48249816894531,110.93000030517578,102.3499984741211,41.7400016784668,111.97000122070312,103.77999877929688,130672400,6557700,35535700
2019-02-04,40.93656539916992,109.58580780029297,99.86460876464844,42.8125,111.80000305175781,105.73999786376953,42.915000915527344,111.9800033569336,105.80000305175781,41.81999969482422,110.68000030517578,102.7699966430664,41.852500915527344,111.41000366210938,102.87000274658203,125982000,7037000,31315100
2019-02-05,41.63697052001953,110.42877197265625,101.26236724853516,43.54499816894531,112.66000366210938,107.22000122070312,43.77000045776367,112.73999786376953,107.2699966430664,43.087501525878906,111.44999694824219,105.95999908447266,43.21500015258789,112.0199966430664,106.05999755859375,144406400,13619800,27325400
2019-02-06,41.65131759643555,109.20352172851562,100.13850402832031,43.560001373291016,111.41000366210938,106.02999877929688,43.89250183105469,113.91999816894531,107.0,43.212501525878906,111.06999969482422,105.52999877929688,43.662498474121094,113.8499984741211,107.0,112958400,14229000,20609800
2019-02-07,40.86246109008789,108.75261688232422,99.42072296142578,42.73500061035156,110.94999694824219,105.2699966430664,43.48500061035156,111.11000061035156,105.58999633789062,42.584999084472656,109.80999755859375,104.29000091552734,43.099998474121094,111.05000305175781,105.19000244140625,126966800,8658100,29760700
2019-02-08,40.91047668457031,109.3015365600586,99.7984848022461,42.602500915527344,111.51000213623047,105.66999816894531,42.665000915527344,111.54000091552734,105.77999877929688,42.10499954223633,110.05999755859375,104.26000213623047,42.247501373291016,110.45999908447266,104.38999938964844,95280000,6395500,21461100
2019-02-11,40.67519760131836,107.27253723144531,99.4018325805664,42.35749816894531,109.44000244140625,105.25,42.8025016784668,111.80999755859375,106.58000183105469,42.3125,109.25,104.97000122070312,42.76250076293945,111.7699966430664,106.19999694824219,83973600,11086400,18914100
